id_area,id_type,lat,long,count
13,6,14.583116051013409,121.01271854661573,6
13,7,14.583116051013409,121.01271854661573,2
13,8,14.583116051013409,121.01271854661573,2
14,1,14.611707627333239,120.98224498713647,5
14,2,14.611707627333239,120.98224498713647,4
14,3,14.611707627333239,120.98224498713647,5
14,4,14.611707627333239,120.98224498713647,5
14,5,14.611707627333239,120.98224498713647,16
14,6,14.611707627333239,120.98224498713647,13
14,7,14.611707627333239,120.98224498713647,4
14,8,14.611707627333239,120.98224498713647,4
15,1,14.598270585027992,121.01675114248647,2
15,2,14.598270585027992,121.01675114248647,4
15,3,14.598270585027992,121.01675114248647,4
15,4,14.598270585027992,121.01675114248647,4
15,5,14.598270585027992,121.01675114248647,5
15,6,14.598270585027992,121.01675114248647,8
15,7,14.598270585027992,121.01675114248647,1
15,8,14.598270585027992,121.01675114248647,3
16,1,14.619169404451402,120.97033535437427,14
16,2,14.619169404451402,120.97033535437427,20
16,3,14.619169404451402,120.97033535437427,18
16,4,14.619169404451402,120.97033535437427,9
16,5,14.619169404451402,120.97033535437427,30
16,6,14.619169404451402,120.97033535437427,37
16,7,14.619169404451402,120.97033535437427,12
16,8,14.619169404451402,120.97033535437427,16
